Qty,Designator,MPN/Seeed SKU
4,"J1, J2, J3, J4",68016-403HLF
1,J5,68016-404HLF
1,RASPBERRY PI,20021311-00040T4LF
1,RESET,COM-08720
1,C1,CC0603FRNPO9BN220
8,"C2, C3, C4, C5, C16, C17, C18, C19",CC0603KPX7R7BB104
1,R1,RC0603FR-071ML
11,"R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12",RC0603FR-071KL
3,"R13, R18, R19",RC0603FR-0710KL
1,ICSP,68602-406HLF
1,IC3,ATMEGA2560-16AU
1,D3,CD1206-S01575
1,Y1, CSTCE16M0V53-R0
5,"IC1, IC2, IC5, IC8, IC9",LMV358MMX/NOPB
1,U1,TXB0108DQSR
1,L1,150080GS75000
6,"L2, L3, L4, L6, L8, L10",150080YS75000
4,"L5, L7, L9, L11",150080RS75000


